DATE,actual,predictions,diff
2021-03-18,98.0,77.72545346586321,20.27454653413679
2019-09-21,96.0,95.20822859044888,0.7917714095511172
2020-10-07,97.0,91.59337851308253,5.406621486917473
2018-12-03,91.0,94.92590541275456,3.9259054127545596
2018-12-09,95.0,93.95708255745433,1.0429174425456722
2022-02-19,79.0,82.61549384539208,3.6154938453920806
2022-07-23,95.0,90.73722642701367,4.262773572986333
2018-06-16,93.0,91.087361987672,1.912638012328003
2020-02-27,96.0,92.24526296103112,3.7547370389688837
2020-03-15,91.0,89.82812200390815,1.171877996091851
2022-11-07,89.0,97.12633335719428,8.126333357194284
2022-06-10,95.0,94.02674558486649,0.9732544151335105
2021-11-24,83.0,84.41739738473292,1.4173973847329222
2020-11-13,93.0,90.88745705696122,2.1125429430387754
2021-07-05,96.0,94.28969623574108,1.7103037642589243
